# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = corrosion_model_model
# start_datetime = 2023-01-23 00:24:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/Bayes-Lund2023/Bayes-Lund2023_presentation/tmp/corrosion_model_data_1.json
# init = 2 (Default)
# random
#   seed = 3811326653 (Default)
# output
#   file = /Users/ddifrancesco/Github/Bayes-Lund2023/Bayes-Lund2023_presentation/tmp/corrosion_model_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.220592
# Diagonal elements of inverse mass matrix:
# 0.0250883, 0.163609, 0.0108166, 0.0168376, 0.00210225, 0.00636659, 0.000555441, 0.079654, 0.492413, 0.00233053, 0.00578739, 0.00378144, 0.048682, 0.0239143, 0.0212116, 0.161747, 0.0279692, 0.0253528, 0.0480812, 0.0432333, 0.0857073, 0.0286794
6.88185,0.703403,0.220592,4,15,0,1.31218,-0.225351,0.300072,4.30719,3.20776,11.1073,6.71634,19.2923,2.38303,0.8906,8.0652,6.51827,7.01535,2.32046,4.22378,4.19419,3.68327,3.16704,3.06909,1.66704,3.04368,1.41742,3.18175,6.62765,7.43154,15.3014,10.3996,22.4593,5.45212,2.55764,11.1089,7.93569,10.1971,0.773487,1.40793,1.39806,1.22776,1.05568,1.02303,0.555679,1.01456,0.472474,1.06058,0.899888
6.71645,0.985734,0.220592,4,15,0,2.15883,0.133761,0.395935,5.09847,4.11868,11.175,5.7566,19.1509,1.79705,0.399961,9.25673,5.55209,7.2859,1.19759,3.63555,4.19931,2.2689,2.98912,3.38796,2.22761,1.74031,2.02853,3.12317,6.29607,7.75423,15.3743,8.02551,22.14,5.18502,2.62757,10.997,7.58062,10.4091,0.399198,1.21185,1.39977,0.756301,0.996375,1.12932,0.742535,0.580103,0.676177,1.04106,0.983624
5.22112,0.774063,0.220592,4,15,0,8.28979,-0.0954554,0.594877,4.93331,3.93771,11.1732,6.76783,18.8988,1.66329,0.970401,9.17233,5.75017,7.52585,0.958531,3.28663,3.97719,2.64446,3.4648,3.85259,1.85685,1.30012,2.50777,3.28769,5.89184,7.22434,15.1504,9.4123,22.3636,5.51588,2.82725,10.4724,8.25794,10.8135,0.31951,1.09554,1.32573,0.881488,1.15493,1.2842,0.61895,0.433373,0.835923,1.0959,0.581756
9.04052,0.95678,0.220592,5,31,0,5.52591,-0.233984,0.458957,3.91769,3.51427,10.166,5.83908,19.5935,1.85236,0.874048,7.92195,6.30716,7.91553,2.3472,3.93638,5.7816,2.04374,2.67503,3.4392,1.85128,2.63944,1.55685,2.62261,6.26489,7.45065,15.9476,7.88282,22.2685,5.29156,2.72533,10.5614,7.86401,10.5381,0.782399,1.31213,1.9272,0.681247,0.891676,1.1464,0.617093,0.879813,0.51895,0.874204,0.80921
8.22312,0.944607,0.220592,4,31,0,-0.90228,0.112646,0.466002,3.89151,3.96338,12.2588,6.35582,18.6213,1.5829,0.694589,9.43019,5.60366,7.47188,2.28926,3.61427,2.92951,4.80415,3.43178,3.80443,2.2479,1.57475,2.17281,3.41547,6.18077,7.57765,15.1883,11.16,22.0531,5.38733,2.94249,11.0049,7.77646,10.8874,0.763087,1.20476,0.976504,1.60138,1.14393,1.26814,0.749301,0.524915,0.724269,1.13849,2.03023
11.5956,0.888111,0.220592,4,15,0,-0.654147,0.0157033,0.313678,3.94046,4.13603,11.4234,6.2287,19.552,1.34077,0.714641,8.55448,6.36309,7.111,2.41701,3.13102,3.6505,4.14316,2.62862,3.68609,2.33652,1.98594,1.72821,3.38966,6.35747,7.26705,15.0739,10.3719,22.1806,5.02685,3.05116,10.5404,8.09131,10.5007,0.80567,1.04367,1.21683,1.38105,0.876208,1.2287,0.778839,0.661981,0.576071,1.12989,1.43033
9.22492,0.792564,0.220592,4,31,0,4.46164,-0.110053,0.476432,3.88282,4.48054,10.9871,6.15287,18.975,2.3802,0.609977,8.48736,6.66061,7.51706,2.17186,3.07663,4.78796,3.28525,3.32029,3.37007,2.06925,2.6763,0.916148,3.05862,6.05468,7.55717,15.775,9.43812,22.2953,5.75028,2.67922,11.1637,7.57675,10.5757,0.723954,1.02554,1.59599,1.09508,1.10676,1.12336,0.689749,0.892101,0.305383,1.01954,1.67829
10.687,0.982556,0.220592,4,31,0,0.979513,-0.0880628,0.307919,3.97438,4.25518,11.1195,6.21838,18.913,2.30409,0.451322,8.52231,6.76093,7.25077,2.05862,3.06228,4.16071,3.61614,3.40902,3.17075,1.99452,2.67777,1.1419,3.26102,6.033,7.31746,15.2802,9.83452,22.322,5.47484,2.44584,11.2001,7.90283,10.5118,0.686206,1.02076,1.3869,1.20538,1.13634,1.05692,0.664839,0.892591,0.380634,1.08701,0.687204
