# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = corrosion_model_model
# start_datetime = 2023-01-23 00:24:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.84999999999999998
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/Bayes-Lund2023/Bayes-Lund2023_presentation/tmp/corrosion_model_data_2.json
# init = 2 (Default)
# random
#   seed = 3811326657 (Default)
# output
#   file = /Users/ddifrancesco/Github/Bayes-Lund2023/Bayes-Lund2023_presentation/tmp/corrosion_model_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu_beta,sigma_beta,depth_true_i1.1,depth_true_i1.2,depth_true_i1.3,depth_true_i1.4,depth_true_i1.5,depth_true_i1.6,depth_true_i1.7,depth_true_i1.8,depth_true_i1.9,depth_true_i1.10,delta_depth.1,delta_depth.2,delta_depth.3,delta_depth.4,delta_depth.5,delta_depth.6,delta_depth.7,delta_depth.8,delta_depth.9,delta_depth.10,depth_true_i2.1,depth_true_i2.2,depth_true_i2.3,depth_true_i2.4,depth_true_i2.5,depth_true_i2.6,depth_true_i2.7,depth_true_i2.8,depth_true_i2.9,depth_true_i2.10,growth.1,growth.2,growth.3,growth.4,growth.5,growth.6,growth.7,growth.8,growth.9,growth.10,CGR_pp
# Adaptation terminated
# Step size = 0.243333
# Diagonal elements of inverse mass matrix:
# 0.0212545, 0.170158, 0.0125525, 0.0189936, 0.00187311, 0.00716267, 0.000546069, 0.0732637, 0.495149, 0.00251012, 0.00535968, 0.00384929, 0.0507979, 0.0243488, 0.0179938, 0.151209, 0.0278725, 0.022268, 0.0383705, 0.0458458, 0.0753044, 0.0289028
-3.6931,0.513071,0.243333,4,15,0,16.6072,0.531777,1.04358,4.72121,4.6937,11.6431,6.34442,19.9667,2.2725,0.506114,7.34857,6.08102,7.68114,1.57514,3.39,3.53292,3.62342,2.25863,3.25485,2.08265,3.75657,1.64633,3.02656,6.29635,8.0837,15.176,9.96784,22.2253,5.52736,2.58877,11.1051,7.72735,10.7077,0.525047,1.13,1.17764,1.20781,0.752876,1.08495,0.694217,1.25219,0.548776,1.00885,0.51983
1.49639,0.99916,0.243333,4,15,0,12.8579,0.314871,0.82353,5.04716,4.88695,11.7591,6.12313,19.7275,1.23091,0.574497,8.70246,6.27701,7.65841,1.23227,2.65413,3.36996,4.303,2.58089,4.45588,2.11864,2.4746,1.47431,3.08189,6.27943,7.54108,15.1291,10.4261,22.3083,5.6868,2.69314,11.1771,7.75132,10.7403,0.410756,0.88471,1.12332,1.43433,0.860296,1.48529,0.706214,0.824868,0.491437,1.0273,7.45785
10.3713,0.956355,0.243333,4,15,0,5.26554,-0.0509533,0.284907,4.28083,4.62442,10.961,6.28659,18.97,0.920307,0.740487,8.47486,5.68476,7.52962,1.88647,3.02427,4.56613,3.53071,3.20254,4.3911,1.99202,2.78193,2.00261,2.69405,6.1673,7.64868,15.5271,9.8173,22.1725,5.3114,2.73251,11.2568,7.68737,10.2237,0.628824,1.00809,1.52204,1.1769,1.06751,1.4637,0.664007,0.927311,0.667536,0.898016,0.76951
7.38856,0.927467,0.243333,4,15,0,2.10136,0.0260739,0.284265,4.31702,4.85314,10.6009,6.80511,18.8406,0.887446,0.572682,8.34014,5.4956,7.54858,1.72005,2.93266,4.77249,3.88383,3.15911,4.49572,2.27747,2.23182,2.48333,2.91733,6.03708,7.7858,15.3734,10.6889,21.9997,5.38316,2.85016,10.572,7.97893,10.4659,0.573351,0.977552,1.59083,1.29461,1.05304,1.49857,0.759158,0.743939,0.827776,0.972442,1.10212
7.11113,0.871321,0.243333,4,15,0,3.88183,0.079183,0.297362,4.29803,4.54323,10.5684,6.25625,19.3995,1.03157,0.457825,8.50464,5.34267,6.80371,2.25853,3.06826,4.89463,3.14374,3.08104,4.2732,2.61285,2.85585,2.46184,4.19087,6.55656,7.61149,15.463,9.39999,22.4805,5.30477,3.07068,11.3605,7.80451,10.9946,0.752844,1.02275,1.63154,1.04791,1.02701,1.4244,0.870951,0.951951,0.820612,1.39696,1.69461
11.7463,0.739563,0.243333,4,31,0,4.76104,-0.104217,0.321624,4.64584,3.98361,11.9567,6.28024,19.2766,1.84864,0.698939,8.86209,5.97604,6.59864,1.70294,3.87507,3.40192,3.21675,3.29945,3.4336,2.10022,2.01062,1.87638,4.19823,6.34878,7.85867,15.3587,9.49699,22.5761,5.28223,2.79915,10.8727,7.85242,10.7969,0.567648,1.29169,1.13397,1.07225,1.09982,1.14453,0.700072,0.670208,0.625459,1.39941,0.471011
12.6192,0.92184,0.243333,5,31,0,1.07862,-0.0819235,0.267402,3.42133,4.32824,10.7633,6.49162,19.0131,1.95706,0.426675,8.44805,6.29875,8.27307,2.87031,3.16441,4.41302,3.19242,3.26652,3.76764,2.37855,2.28246,1.76667,2.42661,6.29164,7.49264,15.1763,9.68405,22.2796,5.7247,2.80523,10.7305,8.06543,10.6997,0.956769,1.0548,1.47101,1.06414,1.08884,1.25588,0.792852,0.760818,0.588891,0.808871,1.01273
